2026-08-12 12:58:55,115 | INFO | Connected to Gemini WebSocket
2026-08-12 12:59:20,568 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0870256100
2026-08-12 12:59:20,582 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0870256100
2026-08-12 12:59:20,682 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0870256100
2026-08-12 12:59:21,384 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0828477100
2026-08-12 12:59:21,482 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0773477100
2026-08-12 12:59:21,900 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0773477100
2026-08-12 12:59:21,901 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0773477100
2026-08-12 12:59:21,986 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0773477100
2026-08-12 12:59:22,084 | INFO | 64180.15000 0.1529421000 - 64180.16000 0.0773477100
2026-08-12 12:59:22,184 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0159195000
2026-08-12 12:59:22,366 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0254423700
2026-08-12 12:59:22,383 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0254423700
2026-08-12 12:59:22,485 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0254423700
2026-08-12 12:59:22,584 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0254423700
2026-08-12 12:59:22,684 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0254423700
2026-08-12 12:59:22,784 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0663499600
2026-08-12 12:59:22,984 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0663499600
2026-08-12 12:59:23,183 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0662720600
2026-08-12 12:59:23,412 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0662720600
2026-08-12 12:59:23,484 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0662720600
2026-08-12 12:59:23,599 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0662720600
2026-08-12 12:59:23,682 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
2026-08-12 12:59:23,782 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
2026-08-12 12:59:23,983 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
2026-08-12 12:59:24,083 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:24,281 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:24,460 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:24,584 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
2026-08-12 12:59:24,683 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
2026-08-12 12:59:25,076 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
2026-08-12 12:59:25,082 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:25,183 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:25,689 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:25,690 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:25,783 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:25,883 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:26,302 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:26,382 | INFO | 64180.16000 0.0296000000 - 64180.17000 0.0661941600
2026-08-12 12:59:26,556 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
2026-08-12 12:59:26,814 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
2026-08-12 12:59:26,882 | INFO | 64180.16000 0.0200000000 - 64180.17000 0.0661941600
